"system","wins","losses","best_worst_scale","best_worst_score","win_percentage"
"sep_ae",949,1751,-29.703703703703706,-802,35.14814814814815
"lbow",1154,1546,-14.518518518518519,-392,42.74074074074074
"vae",1847,853,36.81481481481482,994,68.4074074074074
"hrq",1450,1250,7.4074074074074066,200,53.70370370370371
