"system","wins","losses","best_worst_score","best_worst_scale","win_percentage"
"vae",1850,850,1000,37.03703703703704,68.51851851851852
"lbow",1154,1546,-392,-14.518518518518519,42.74074074074074
"sep_ae",948,1752,-804,-29.777777777777775,35.11111111111111
"hrq",1448,1252,196,7.2592592592592595,53.629629629629626
